SYMBOL,DATE1,PREV_CLOSE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_QTY,DELIV_PER,AVG_DELIV_10D,AVG_TURNOVER_10D,DELIV_SPIKE_X,PCT_CHG,COMPANY_NAME,DELIV_TURNOVER_CR
WELCORP,2026-09-18,2460.3,2660.1,4629365,120929.47,2257421.0,48.76,711610.1818181818,55079.26909090909,3.1722719231366714,8.120960858431888,Welspun Corp Limited,589.65209572
GMRAIRPORT,2026-09-18,95.04,99.3,21945461,21419.55,15970769.0,72.77,5040883.545454546,8850.488181818182,3.1682479581185974,4.482323232323222,GMR AIRPORTS LIMITED,155.87006535
SIEMENS,2026-09-18,3763.5,3913.9,666502,25535.16,362487.0,54.39,114600.81818181818,10417.586363636363,3.1630402448340447,3.9962800584562266,Siemens Limited,138.88573524
EXIDEIND,2026-09-18,418.6,435.85,5570954,24227.64,2544769.0,45.68,806223.6363636364,7709.708181818181,3.1564058472384158,4.1208791208791204,Exide Industries Limited,110.67185952
AIIL,2026-09-18,527.2,559.0,762508,4213.93,444779.0,58.33,143855.81818181818,6610.438181818181,3.091838798190613,6.0318664643399,Authum Investment & Infrastructure Limited,24.57985369
KIMS,2026-09-18,791.85,809.85,1242321,9995.45,760029.0,61.18,247119.63636363635,3006.6036363636363,3.075550818962917,2.273157795036939,Krishna Institute of Medical Sciences Limited,61.15216310000001
SONACOMS,2026-09-18,777.9,808.0,4201864,33823.46,2161414.0,51.44,705822.9090909091,11225.423636363637,3.0622610461650694,3.8693919526931513,Sona BLW Precision Forgings Limited,173.98787824
IPCALAB,2026-09-18,1970.3,2009.6,527501,10568.37,361636.0,68.56,118496.63636363637,4436.261818181819,3.051867218325338,1.9946201086128994,IPCA Laboratories Limited,72.45674472
LTTS,2026-09-18,3324.3,3347.5,103280,3442.58,65740.0,63.65,21586.545454545456,1666.1699999999998,3.0454154944999408,0.6978912853833835,L&T Technology Services Limited,21.9120217
VISAKAIND,2026-09-18,90.81,97.36,612789,585.91,306324.0,49.99,100715.90909090909,190.60181818181817,3.041465869344466,7.212862019601363,Visaka Industries Limited,2.92896409
AJANTPHARM,2026-09-18,3500.5,3563.6,201322,7197.82,120230.0,59.72,39537.09090909091,2363.2654545454548,3.040941992329412,1.8025996286244799,Ajanta Pharma Limited,42.98538103999999
UPL,2026-09-18,554.75,580.0,3779171,21494.29,3050593.0,80.72,1008017.0,9909.278181818181,3.0263309051335443,4.5515998197386205,UPL Limited,173.50190888
TVSSCS,2026-09-18,130.09,133.85,2452803,3312.09,1189012.0,48.48,394952.8181818182,1374.7572727272727,3.010516561126634,2.8903067107387126,TVS Supply Chain Solutions Limited,16.05701232
NAVINFLUOR,2026-09-18,8220.0,8590.0,298599,25335.53,177828.0,59.55,59241.545454545456,10293.050000000001,3.001744782914938,4.5012165450121655,Navin Fluorine International Limited,150.87308115
