SYMBOL,TOT_DELIV_QTY,TOT_TRD_QTY,TOT_TURNOVER_CR,DAYS_TRADED,LATEST_CLOSE,FIRST_PREV_CLOSE,WEEKLY_DELIV_PER,WEEKLY_PRICE_CHG,PRIOR_DELIV_QTY,PRIOR_TRD_QTY,PRIOR_TURNOVER_CR,WEEKLY_SPIKE_X,COMPANY_NAME
BANDHANBNK,50063134.0,93772587,1646.4321,6,175.0,174.0,53.3878136475002,0.5747126436781609,21420059.0,51952225.0,883.1046000000001,2.3372080347677846,Bandhan Bank Limited
DMART,2301309.0,3644866,1348.4159999999997,6,3749.9,3690.0,63.138370518971065,1.6233062330623331,993845.0,1542291.0,572.7808,2.3155612796764085,Avenue Supermarts Limited
OMPOWER,417605.0,820418,13.8422,6,172.37,168.11,50.90149167863211,2.5340550829813755,182670.0,322794.0,5.542499999999999,2.2861170416598235,Om Power Transmission Limited
MEESHO,98042612.0,175481846,3784.5566000000003,6,214.44,217.91,55.87051551759947,-1.5924005323298605,43021829.0,89250755.0,1902.1064000000001,2.278903855993663,Meesho Limited
TMPV,34611779.0,76576067,2344.5845,6,303.8,300.5,45.19921217682804,1.0981697171381068,15216035.0,31909954.0,974.8548000000001,2.2746910742516038,Tata Motors Passenger Vehicles Limited
BAJAJ-AUTO,845248.0,1397894,1612.7124,6,11414.0,11768.0,60.46581500457117,-3.0081577158395647,372152.0,694118.0,820.2718000000001,2.2712440078247598,Bajaj Auto Limited
CHOLAHLDNG,500960.0,926466,139.2963,6,1507.7,1532.0,54.072140801713175,-1.5861618798955583,223868.0,367764.0,55.99279999999999,2.2377472439115906,Cholamandalam Financial Holdings Limited
BHARTIHEXA,438525.0,769071,117.2136,6,1540.1,1539.2,57.02009307333134,0.05847193347192461,196252.0,349648.0,53.58,2.2344995210239897,Bharti Hexacom Limited
ENTERO,978397.0,2056683,350.945,6,1732.3,1792.9,47.571599512418786,-3.3799988844888245,441561.0,789867.0,146.5771,2.2157686027525076,Entero Healthcare Solutions Limited
SYNGENE,2502157.0,4010853,150.4235,6,369.05,384.0,62.384659821738666,-3.893229166666664,1135593.0,1995182.0,77.8039,2.203392412598528,Syngene International Limited
