SYMBOL,TOT_DELIV_QTY,TOT_TRD_QTY,TOT_TURNOVER_CR,DAYS_TRADED,LATEST_CLOSE,FIRST_PREV_CLOSE,WEEKLY_DELIV_PER,WEEKLY_PRICE_CHG,PRIOR_DELIV_QTY,PRIOR_TRD_QTY,PRIOR_TURNOVER_CR,WEEKLY_SPIKE_X,COMPANY_NAME
BAJAJ-AUTO,845248.0,1397894,1612.7124,6,11414.0,11768.0,60.46581500457117,-3.0081577158395647,372152.0,694118.0,820.2718000000001,2.2712440078247598,Bajaj Auto Limited
CHOLAHLDNG,500960.0,926466,139.2963,6,1507.7,1532.0,54.072140801713175,-1.5861618798955583,223868.0,367764.0,55.99279999999999,2.2377472439115906,Cholamandalam Financial Holdings Limited
BHARTIHEXA,438525.0,769071,117.2136,6,1540.1,1539.2,57.02009307333134,0.05847193347192461,196252.0,349648.0,53.58,2.2344995210239897,Bharti Hexacom Limited
SYNGENE,2502157.0,4010853,150.4235,6,369.05,384.0,62.384659821738666,-3.893229166666664,1135593.0,1995182.0,77.8039,2.203392412598528,Syngene International Limited
NIVABUPA,2736487.0,5380556,43.09740000000001,6,79.59,79.42,50.85881459090845,0.21405187610173973,1253777.0,2113757.0,16.926399999999997,2.182594671939268,Niva Bupa Health Insurance Company Limited
THANGAMAYL,444946.0,789238,395.26759999999996,6,5044.5,5081.5,56.3766569779965,-0.728131457246876,207091.0,392311.0,207.2072,2.148553051557045,Thangamayil Jewellery Limited
AJANTPHARM,366887.0,584811,206.56260000000003,6,3563.6,3520.0,62.73599504797276,1.238636363636361,171330.0,313067.0,110.3689,2.141405474814685,Ajanta Pharma Limited
IKS,643148.0,1040040,183.9528,6,1779.9,1783.7,61.83877543171417,-0.21304030946907854,302529.0,697841.0,124.49849999999998,2.125905285113163,Inventurus Knowledge Solutions Limited
STEELCAS,406245.0,793499,24.570099999999996,6,319.9,323.55,51.19666187354993,-1.1281100293617783,193925.0,372492.0,12.1592,2.0948562588629627,Steelcast Limited
LAURUSLABS,7109471.0,13265403,2574.4339,6,1954.0,1945.0,53.59408229060211,0.46272493573264784,3394906.0,7229894.0,1380.2326,2.0941584244158746,Laurus Labs Limited
KKCL,176475.0,266211,13.0947,6,485.6,501.7,66.2914004304856,-3.2090890970699553,84778.0,136827.0,6.949299999999999,2.081613154356083,Kewal Kiran Clothing Limited
VAML,31686164.0,53213647,2207.5919999999996,6,416.5,437.05,59.54518396380537,-4.701979178583689,15223754.0,25432432.0,1117.7622000000001,2.0813633746315134,Vedanta Aluminium Metal Limited
HCG,728963.0,996668,68.1447,6,708.25,700.9,73.14000248829099,1.0486517334855219,351245.0,725922.0,50.8283,2.0753690443992086,Healthcare Global Enterprises Limited
TORNTPHARM,1517759.0,2469206,1200.3772,6,4840.0,4930.0,61.467491979203025,-1.8255578093306288,733206.0,1166062.0,572.2537,2.070030796256441,Torrent Pharmaceuticals Limited
ZFCVINDIA,380438.0,581117,141.9583,6,2387.0,2528.4,65.46667882715529,-5.592469545957921,184045.0,328588.0,82.04719999999999,2.0670922872123665,ZF Commercial Vehicle Control Systems India Limited
CHALET,591871.0,997311,86.04709999999999,6,865.65,875.55,59.34668323120872,-1.1307178345040236,287030.0,620497.0,55.461499999999994,2.062052747099606,Chalet Hotels Limited
ABLBL,2596211.0,4360421,36.1045,6,81.17,84.0,59.54037465648386,-3.3690476190476173,1265626.0,2604505.0,22.1772,2.051325589076078,Aditya Birla Lifestyle Brands Limited
FRACTAL,1535324.0,2319632,176.6277,6,764.35,766.65,66.1882574477331,-0.30000652188090454,749952.0,1382535.0,110.0606,2.047229689366786,Fractal Analytics Limited
SIMPLEXINF,526248.0,826969,20.7337,6,251.4,255.75,63.63575901877822,-1.700879765395892,257766.0,380643.0,9.9962,2.0415725890924326,Simplex Infrastructures Limited
JKIL,194179.0,311447,14.885,6,486.55,483.4,62.34736568340681,0.6516342573438217,95338.0,154188.0,7.5225,2.036742956638486,J.Kumar Infraprojects Limited
STYL,473391.0,829088,30.6273,6,360.35,385.9,57.09779902736501,-6.620886239958527,232949.0,588090.0,22.7048,2.0321658388746036,Seshaasai Technologies Limited
HINDALCO,15736879.0,26228546,2575.5084,6,986.5,1014.0,59.99905217773033,-2.712031558185404,7795115.0,14053574.0,1426.9128,2.018812936050334,Hindalco Industries Limited
EQUITASBNK,5847334.0,10925500,79.5293,6,74.09,72.63,53.52005857855475,2.0101886272890104,2909456.0,5562368.0,40.3448,2.009768836511018,Equitas Small Finance Bank Limited
