id,symbol,company,isin,sector,industry,series,listing_date,market_cap,revenue_growth,pat_growth,roce,ai_score
6581,AARCON,AARCON FACILITIES LIMITED,INE056J01015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
25,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,Unknown,Unknown,EQ,2021-08-06,Unknown,0.0,0.0,0.0,0.0
26,AARNAV,Aarnav Fashions Limited,INE750R01016,Unknown,Unknown,BE,2026-02-25,Unknown,0.0,0.0,0.0,0.0
27,AARON,Aaron Industries Limited,INE721Z01010,Unknown,Unknown,EQ,2020-11-06,Unknown,0.0,0.0,0.0,0.0
28,AARTECH,Aartech Solonics Limited,INE01C001026,Unknown,Unknown,BE,2023-07-10,Unknown,0.0,0.0,0.0,0.0
29,AARTIDRUGS,Aarti Drugs Limited,INE767A01016,Unknown,Unknown,EQ,2003-09-19,Unknown,0.0,0.0,0.0,0.0
30,AARTIIND,Aarti Industries Limited,INE769A01020,Unknown,Unknown,EQ,1995-02-08,Unknown,0.0,0.0,0.0,0.0
31,AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,Unknown,Unknown,EQ,2023-01-30,Unknown,0.0,0.0,0.0,0.0
32,AARTISURF,Aarti Surfactants Limited,INE09EO01013,Unknown,Unknown,BE,2020-07-14,Unknown,0.0,0.0,0.0,0.0
9080,AARTI-RE,Aarti Surfactants Limited,INE09EO20013,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9585,AARTIPP,Aarti Surfactants Limited,IN909EO01012,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
33,AARVI,Aarvi Encon Limited,INE754X01016,Unknown,Unknown,EQ,2020-06-24,Unknown,0.0,0.0,0.0,0.0
6410,AARYAGLOBL,Aarya Global Shares and Securities Ltd.,INE233H01030,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
6275,AASHEESH,Aasheesh Securities Ltd.,INE174C01011,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8235,AASHKA,Aashka Hospitals Limited,INE0EAX01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
3885,AASTAFIN,Aastamangalam Finance Limited,INE819K01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9262,AASTA-RE,Aastamangalam Finance Limited,INE819K20014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
34,AASTHA,Aastha Spintex Limited,INE2FMX01012,Unknown,Unknown,EQ,2026-07-06,Unknown,0.0,0.0,0.0,0.0
35,AAVAS,Aavas Financiers Limited,INE216P01012,Unknown,Unknown,EQ,2018-10-08,Unknown,0.0,0.0,0.0,0.0
7879,AAYUSHBULL,AAYUSH ART AND BULLION LIMITED,INE777X01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7602,AAYUSH,AAYUSH WELLNESS LIMITED,INE430R01023,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
3671,ABACUS,Abacus Computers Ltd,INE192D01011,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9505,ABANOFFSHPP,Aban  Offshore Ltd.,IN9421A01026,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
36,ABAN,Aban Offshore Limited,INE421A01028,Unknown,Unknown,BE,1995-03-29,Unknown,0.0,0.0,0.0,0.0
37,ABANSENT,Abans Enterprises Limited,INE365O01028,Unknown,Unknown,EQ,2026-04-20,Unknown,0.0,0.0,0.0,0.0
91,AFSL,Abans Financial Services Limited,INE00ZE01026,Unknown,Unknown,EQ,2022-12-23,Unknown,0.0,0.0,0.0,0.0
6363,ABATEAS,ABATE AS INDUSTRIES LIMITED,INE454E01013,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
38,ABB,ABB India Limited,INE117A01022,Unknown,Unknown,EQ,1995-02-08,Unknown,0.0,0.0,0.0,0.0
39,ABBOTINDIA,Abbott India Limited,INE358A01014,Unknown,Unknown,EQ,2010-01-08,Unknown,0.0,0.0,0.0,0.0
3442,ABCBEARS,ABC Bearings Ltd.,INE779A01011,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4466,ABCINDQ,ABC India Ltd.,INE125D01011,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
5328,ABEEINF,Abee Info-Consumables Ltd.,INE097B01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
6832,ABGSHIP,ABG Shipyard Ltd.,INE067H01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
6602,ABHICAP,Abhinav Capital Services Limited,INE516F01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7396,ALFL,Abhinav Leasing & Finance Limited,INE211D01027,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
6887,ABHISHEK,Abhishek Corporation Ltd,INE004I01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7389,ABHIFIN,Abhishek Finlease limited,INE723C01015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7604,ABHIINFRA,Abhishek Infraventures Limited,INE281P01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
3882,ABIRAFN,Abirami Financial Services (India),INE195I01013,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
5065,ABLBIO,ABL Bio-Technologies Ltd.,INE707D01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
46,ABMINTLLTD,ABM International Limited,INE251C01025,Unknown,Unknown,BE,2021-09-09,Unknown,0.0,0.0,0.0,0.0
47,ABMKNO,ABM Knowledgeware Limited,INE850B01026,Unknown,Unknown,EQ,2026-04-20,Unknown,0.0,0.0,0.0,0.0
8572,ABRFL,Abram Food Limited,INE0ZDY01011,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8610,ABRIL,ABRIL PAPER TECH LIMITED,INE15MX01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
50,ACC,ACC Limited,INE012A01025,Unknown,Unknown,EQ,1996-11-20,Unknown,0.0,0.0,0.0,0.0
6290,ACCEDERE,ACCEDERE LIMITED,INE578B01015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4340,ACCEL,ACCEL LIMITED,INE258C01038,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8386,ACCELERATE,ACCELERATEBS INDIA LIMITED,INE0POP01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
51,ACCELYA,Accelya Solutions India Limited,INE793A01012,Unknown,Unknown,EQ,1999-12-01,Unknown,0.0,0.0,0.0,0.0
6506,ACCENTECH,Accentia Technologies Ltd.,INE122B01012,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4915,ACCLAIM,Acclaim Industries Limited,INE051E01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8740,ACCORDTS,ACCORD TRANSFORMER & SWITCHGEAR LIMITED,INE132201018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8729,ANL,Accretion Nutraveda Limited,INE1KVQ01019,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
52,ACCURACY,Accuracy Shipping Limited,INE648Z01023,Unknown,Unknown,BE,2020-12-11,Unknown,0.0,0.0,0.0,0.0
6513,ACCUEXPO,Accurate Exports Ltd.,INE062B01010,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
5232,ACCURATE,Accurate Transformers Ltd.,INE243C01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8577,ACEALPHA,Ace Alpha Tech Limited,INE0S9X01011,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
5103,ACEEDU,ACE EDUTREND LIMITED,INE715F01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
5273,ACEENGITEC,ACE ENGITECH LIMITED,INE035401020,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
54,ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,Unknown,Unknown,EQ,2022-11-04,Unknown,0.0,0.0,0.0,0.0
7629,ACEMEN,ACE MEN ENGG WORKS LIMITED,INE023R01018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
6284,ACESOFT,Ace Software Exports ltd.,INE849B01010,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9384,ACES-RE1,Ace Software Exports ltd.,INE849B20028,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9259,ACES-RE,Ace Software Exports ltd.,INE849B20010,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9635,ACESEPP,Ace Software Exports ltd.,IN9849B01026,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9615,ASEPP,Ace Software Exports ltd.,IN9849B01018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7126,ATWL,Ace Tours Worldwide Limited,INE926O01019,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7609,ACEWIN,ACEWIN AGRITECK LIMITED,INE742R01013,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7267,ACHAL,Achal Investments Limited,INE860P01025,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8277,ACHYUT,Achyut Healthcare Limited,INE0K1401020,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4310,ACIIN,ACI Infocom Ltd.,INE167B01025,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
5347,ACIL,ACIL Cotton Industries Limited,INE066C01035,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
5087,ACKNIT,Acknit Industries Ltd,INE326C01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7549,ACME,Acme Resources Limited,INE636B01011,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
58,ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,Unknown,Unknown,EQ,2024-11-13,Unknown,0.0,0.0,0.0,0.0
7032,ACROPETAL,Acropetal Technologies Limited,INE055L01013,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4049,ACROW,Acrow (India) Ltd.,INE950D01012,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
59,ACSTECH,ACS Technologies Limited,INE366C01021,Unknown,Unknown,BE,2026-04-20,Unknown,0.0,0.0,0.0,0.0
53,ACE,Action Construction Equipment Limited,INE731H01025,Unknown,Unknown,EQ,2006-09-26,Unknown,0.0,0.0,0.0,0.0
3868,ACTIONFI,Action Financial Services (India) L,INE357A01032,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7976,ACTIVE,Active Clothing Co  Limited,INE380Z01015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
60,ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,Unknown,Unknown,EQ,2021-09-14,Unknown,0.0,0.0,0.0,0.0
3790,ADMANUM,AD-Manum Finance Ltd,INE556D01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4890,ADAMCO,Adam Comsof Ltd.,INE272A01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
61,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Unknown,Unknown,EQ,2015-07-31,Unknown,0.0,0.0,0.0,0.0
