date,equity,cash,open_positions,peak,drawdown,daily_ret
2026-01-05,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-06,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-07,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-08,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-09,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-12,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-13,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-14,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-16,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-19,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-20,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-21,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-22,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-23,998614.03,800221.78,1,1000000.0,-0.1385969999999972,-0.0013859699999999586
2026-01-27,1002662.21,600644.26,2,1002662.21,0.0,0.0040537984430280005
2026-01-28,1006021.16,400706.81,3,1006021.16,0.0,0.0033500315126069324
2026-01-29,992041.88,65.2,5,1006021.16,-1.3895612295073423,-0.013895612295073412
2026-01-30,995496.85,850.78,5,1006021.16,-1.0461320714168731,0.0034826856301670706
2026-02-02,998580.79,74.78,5,1006021.16,-0.739583847321859,0.003097890264544878
2026-02-03,1006859.03,402918.73,3,1006859.03,0.0,0.008290005258362765
2026-02-04,1018086.88,1564.82,5,1018086.88,0.0,0.011151362470275483
2026-02-05,1000408.34,11089.74,5,1018086.88,-1.7364470898593682,-0.01736447089859372
2026-02-06,998944.51,196991.21,4,1018086.88,-1.880229514400578,-0.0014632325036394445
2026-02-09,1017031.88,187610.63,4,1018086.88,-0.10362573378806335,0.018106481209852143
2026-02-10,1046555.44,6436.98,5,1046555.44,0.0,0.029029139184899355
2026-02-11,1027893.36,24047.99,5,1046555.44,-1.7831907691388007,-0.017831907691387983
2026-02-12,1021784.6,9559.26,5,1046555.44,-2.3668922880951215,-0.005942990039355833
2026-02-13,1005549.66,210083.84,4,1046555.44,-3.9181660553023274,-0.01588880865888953
2026-02-16,1001037.8,401965.45,3,1046555.44,-4.349281295599582,-0.004486958903650806
2026-02-17,1023272.7,193642.28,4,1046555.44,-2.2247020186527333,0.02221184854358138
2026-02-18,1025716.7,414092.79,3,1046555.44,-1.9911740174987762,0.002388415131176602
2026-02-19,1014626.98,403464.6,3,1046555.44,-3.0508140113437245,-0.010811679287273002
2026-02-20,1004064.17,403464.6,3,1046555.44,-4.060106935185384,-0.010410535308256752
2026-02-23,966605.07,5014.78,5,1046555.44,-7.639382200335225,-0.037307476074960544
2026-02-24,993884.64,386053.42,3,1046555.44,-5.032776858911548,0.028222043155639698
2026-02-25,985174.11,577112.19,2,1046555.44,-5.865081547901558,-0.008764125784256005
2026-02-26,998626.06,591869.8,2,1046555.44,-4.5797268035795495,0.013654388461345146
2026-02-27,976339.78,395489.42,3,1046555.44,-6.709215519437739,-0.022316942139483098
2026-03-02,961994.06,771036.98,1,1046555.44,-8.079971377340495,-0.014693368327161616
2026-03-04,960849.51,382700.55,3,1046555.44,-8.18933490995947,-0.0011897682611471394
2026-03-05,968722.42,779553.22,1,1046555.44,-7.437066114720106,0.008193697262748323
2026-03-06,967013.31,586787.06,2,1046555.44,-7.600374233399417,-0.0017642928094923072
2026-03-09,944916.58,573419.18,2,1046555.44,-9.71175115195044,-0.02285049209922463
2026-03-10,950381.33,573419.18,2,1046555.44,-9.189585790123072,0.00578331475567917
2026-03-11,946588.09,752978.09,1,1046555.44,-9.552035771750418,-0.003991282109887417
2026-03-12,951391.25,563015.65,2,1046555.44,-9.093086363394178,0.005074181738331518
2026-03-13,948550.03,563015.65,2,1046555.44,-9.364569353344523,-0.0029863844133525275
