date,equity,cash,open_positions,peak,drawdown,daily_ret
2026-01-05,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-06,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-07,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-08,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-09,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-12,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-13,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-14,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-16,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-19,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-20,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-21,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-22,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-23,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-27,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-28,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-29,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-30,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-02,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-03,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-04,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-05,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-06,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-09,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-10,1016119.74,393528.86,3,1016119.74,0.0,0.016119739999999938
2026-02-11,1020273.92,93847.66,5,1020273.92,0.0,0.0040882780212498915
2026-02-12,1020375.74,4266.83,5,1020375.74,0.0,9.979672909787851e-05
2026-02-13,999248.81,592028.43,2,1020375.74,-2.0705049298800398,-0.02070504929880035
2026-02-16,1003719.53,592028.43,2,1020375.74,-1.6323604479267573,0.00447408088481982
2026-02-17,1004384.55,592028.43,2,1020375.74,-1.5671864170349585,0.0006625556045523062
2026-02-18,1010006.31,592028.43,2,1020375.74,-1.0162364307093321,0.005597218714684438
2026-02-19,1007845.67,592028.43,2,1020375.74,-1.2279858790057032,-0.0021392341598340803
2026-02-20,1006586.59,592028.43,2,1020375.74,-1.3513796398177815,-0.0012492785725815025
2026-02-23,1011973.85,701443.49,2,1020375.74,-0.8234113837320373,0.005352008514240225
2026-02-24,1009503.35,701443.49,2,1020375.74,-1.0655280769415405,-0.002441268615784864
2026-02-25,1011988.55,701443.49,2,1020375.74,-0.8219707379557989,0.0024618046091675616
2026-02-26,1014901.91,701443.49,2,1020375.74,-0.53645238566726,0.002878846801181778
2026-02-27,1013478.41,701443.49,2,1020375.74,-0.6759598184880364,-0.0014025986018688652
2026-03-02,1003212.74,803969.54,1,1020375.74,-1.6820274460856939,-0.010129145227671943
2026-03-04,1057369.07,19.1,1,1057369.07,0.0,0.05398289698753245
2026-03-05,1050773.12,541146.44,1,1057369.07,-0.6238077306346737,-0.006238077306346734
2026-03-06,1049882.32,541146.44,1,1057369.07,-0.7080545679286797,-0.0008477567450526635
2026-03-09,997715.55,927.55,1,1057369.07,-5.641693302036915,-0.04968820696018583
2026-03-10,1031931.55,927.55,1,1057369.07,-2.405737099913469,0.03429434371349638
2026-03-11,999325.3,999325.3,0,1057369.07,-5.489452230714486,-0.03159729925885102
2026-03-12,999325.3,999325.3,0,1057369.07,-5.489452230714486,0.0
2026-03-13,999325.3,999325.3,0,1057369.07,-5.489452230714486,0.0
2026-03-16,999325.3,999325.3,0,1057369.07,-5.489452230714486,0.0
2026-03-17,999325.3,999325.3,0,1057369.07,-5.489452230714486,0.0
2026-03-18,1022619.49,83.89,1,1057369.07,-3.2864191875784745,0.02330991720113551
